Article_ID,Headline,Keywords,News_Category,Pub_Date,Section_Name,Snippet,Media_Type,URL
5a6fb46d10f40f00018be5e6,"Bubble, Bubble, Fraud And Trouble","['Bitcoin (Currency)', 'Virtual Currency']", People & Blogs,1/29/2018 23:55,Unknown,It’s a mania! It’s a cult! It’s Bitcoin!,Op-Ed,https://www.nytimes.com/2018/01/29/opinion/bitcoin-bubble-fraud.html
5a6fac9510f40f00018be5d4,Republicans Vote to Release  A Secret Memo,"['United States Politics and Government', 'Russian Interference in 2016 US Elections and Ties to Trump Associates', 'Classified Information and State Secrets', 'Presidential Election of 2016', 'Trump, Donald J', 'House of Representatives', 'House Committee on Intelligence', 'Federal Bureau of Investigation', 'Rosenstein, Rod J', 'Page, Carter']", News & Politics,1/29/2018 23:21,Politics,"Disregarding Justice Department warnings, the House Intelligence Committee will release a secret memo questioning the origins of the Russia investigation.",News,https://www.nytimes.com/2018/01/29/us/politics/release-the-memo-vote-house-intelligence-republicans.html
5a6fab2110f40f00018be5d3,"Tech Creates Homebodies, And Energy Use Declines","['Energy Efficiency', 'Telecommuting', 'Research']", Science & Technology,1/29/2018 23:15,Unknown,A new study suggests that tech-fueled lifestyle changes that encourage Americans to travel less are saving energy. But the full picture may be murkier.,News,https://www.nytimes.com/2018/01/29/climate/americans-staying-home-energy.html
5a6fa77810f40f00018be5cb,Another Missed Connection,"['Subways', 'Brooklyn (NYC)']", News & Politics,1/29/2018 23:00,Unknown,Hoping to catch a stranger’s eye on the way to a beer garden in Brooklyn.,News,https://www.nytimes.com/2018/01/29/nyregion/another-missed-connection.html
5a6fa70510f40f00018be5ca,"‘It’s Time for Canada to Grow Up’: As Nafta Talks Close, Canadians Take Stock","['Canada', 'North American Free Trade Agreement']", News & Politics,1/29/2018 22:58,Unknown,Canadian readers tell us how they view Nafta and describe their vision of Canada’s path forward.,News,https://www.nytimes.com/2018/01/29/reader-center/its-time-for-canada-to-grow-up-as-nafta-talks-close-canadians-take-stock.html
5a6fa55910f40f00018be5c4,"First Lady, Rare Sight Since Reports of Trump Affair, Will Attend Speech","['Trump, Donald J', 'Trump, Melania', 'Adultery', 'Clifford, Stephanie (1979- )', 'United States Politics and Government', 'State of the Union Message (US)']", News & Politics,1/29/2018 22:51,Politics,"The reports of a payoff to an adult actress blindsided the first lady, who was furious with her husband, according to two people close to the couple.",News,https://www.nytimes.com/2018/01/29/us/politics/melania-trump-state-of-the-union.html
5a6f9e7e10f40f00018be5b4,Home Buyers’ Fees Pay for Lavish Gifts. Will New York Step In?,"['Title Insurance', 'Consumer Protection', 'Real Estate and Housing (Residential)', 'Real Estate (Commercial)', 'Law and Legislation', 'Amtrust Financial Services Inc', 'Department of Financial Services (NYS)', 'New York State', 'Vullo, Maria T (1963- )', 'Citi Field (Queens, NY)', 'Hunter, J Robert', 'Treuber, Robert']", News & Politics,1/29/2018 22:21,Unknown,"For years, title insurance companies have spent big to win clients, passing the costs to consumers. New York is now fighting to end the practice.",News,https://www.nytimes.com/2018/01/29/nyregion/title-insurance-new-york.html
5a6f9da310f40f00018be5b0,Attacks Belie U.S. Optimism In Afghan War,"['United States Defense and Military Forces', 'Afghanistan War (2001- )', 'Afghanistan', 'United States International Relations', 'State of the Union Message (US)', 'Defense Department', 'Taliban', 'Trump, Donald J']", News & Politics,1/29/2018 22:18,Politics,"In his State of the Union address, President Trump is expected to promote his strategy to win the war in Afghanistan. He’ll be the third president to do so.",News,https://www.nytimes.com/2018/01/29/us/politics/trump-afghanistan-war-elusive-victory.html
5a6f9a5d10f40f00018be5a8,The State of the Union Address: A Place for Student Predictions and Reactions,[], Education,1/29/2018 22:04,Unknown,What predictions can you make about the speech? What reactions do you have during and after? This forum is a place for teenagers to post both.,News,https://www.nytimes.com/2018/01/29/learning/state-of-the-union-address-student-predictions-reactions.html
5a6f878010f40f00018be56a,The Furtive Artists of Power Politics: Mapmakers,"['Redistricting and Reapportionment', 'Maryland', 'Wisconsin', 'State Legislatures', 'Democratic Party', 'Republican Party', 'House of Representatives', ""O'Malley, Martin J"", 'Politics and Government', 'United States Politics and Government']", News & Politics,1/29/2018 20:43,Unknown,The experts who draw political maps are finding their work under scrutiny as courts examine partisan gerrymandering.,News,https://www.nytimes.com/2018/01/29/us/gerrymander-political-maps-maryland.html
